N°;NOMBRE;DIRECCIÓN;TELÉFONO;FAX;RFC;CORREO;WEB;CONTACTO;PUESTO CONTACTO;TÉLEFONO CONTACTO;MOVIL CONTACTO;CORREO CONTACTO;TELÉFONO ALTERNO 1;TELÉFONO ALTERNO 2;CANTIDADES COMPRADAS; CANTIDADES EN $  
37;PRODUCTOS COMERCIALES MUNDIALES, S.A. DE C.V.;CALIFORNIA 19-103-B PARQUE SAN ANDRES C.P. 04040 COYOACAN. MEXICO D.F.;;;PCM980722SE9;;;;;;;;;;6;67.411,00
38;AUTOCAMIONES DE GUERRERO, S.A. DE C.V.;CARRETERA NACIONAL Y PERIFERICO S/N, COL CENTRO IGUALA, GUERRERO, C.P. 40000;01 (733) 332-2418;01 (733) 332-9150;ACG8501151Q7;;WWW.FORDCEVER.COM.MX;;;;;;01 (733) 332-2171;01 (733) 332-9140;6;891.304,00
39;ECATEPEC AUTOMOTRIZ, S.A. DE C.V.;VIA MORELOS No. 161 KM. 20.5 CARRETERA LIBRE MEXICO-PACHUCA, C.P. 55080, ECATEPEC, EDO. DE MEX.;5770-0121;5787-4977;EAU840309641;;;;;;;;;;7;1.192.000,00
40;AUTO CAM, S.A. DE C.V.;PASEO CUAUHNAHUAC No. 818 COL. BUGAMBILIAS, C.P. 62468 CUERNAVACA, MOR.;01 (777) 320-1098;01 (777) 320-4813;ACA900126DM8;ventas@autocam.com.mx;;;;;;;;;7;855.700,00
41;FUJI AUTOMOTRIZ, S.A. DE C.V.;CALZADA ERMITA IZTAPALAPA 848 COL. MINERVA C.P. 09810, MEXICO D.F.;5685-3554;5685-1804;FAU810615SI8;;;;;;;;5685-2523;5685-1913;7;914.978,00
42;AUTOKASA VIADUCTO, S.A. DE C.V.;VIADUCTO PIEDAD NO. 21 ESQ. LA VIGA, COL. STA. ANITA IZTACALCO, C.P. 08200, MEXICO, D.F.;5325-0902;5325-0902;AVI890830SH2;;;;;;;;;;8;902.042,00
43;SUMINISTROS INDUSTRIALES ALLEN, S.A. DE C.V.;MANZANILLO 135, COL. ROMA SUR C.P. 06760 MEXICO D.F.;5574-0520;5564-4195;SIA7906282S4;;;;;;;;5574-4256;;8;62.053,90
44;CHEVROLET AGUINACO Y COMPAÑÍA, S.A. DE C.V.;SUPER AVENIDA LOMAS VERDES 680 GRACCIONAMIENTO LOMAS VERDES 2a. SECCION , NAUCALPAN DE JUAREZ, EDO. DE MEX.;5343-2472;5343-8223;CAG901016B35;;;;;;;;5343-2597;;8;926.371,00
45;TECNICA CIENTIFICA, S.A. DE C.V.;AV. JARDIN No. 272, COL. TLATILCO C.P. 02860, MEXICO D.F.;5355-0015;5556-1568;TCI6202209F7;;;;;;;;5355-0072;5556-0327;9;91.514,50
46;MORRIS HERMANOS, S.A. DE C.V.;BAHIA DE LA ASCENCIÒN No. 31 COL. VERONICA ANZURES C.P. 11300 MEXICO D.F.;5726-9944;5260-0568;MHE8101021T3;;;;;;;;;;9;1.142.640,00
47;DISTRIBUIDORA CHEVROLET, S.A. DE C.V.;PERIFERICO SUR 6611-D C.P. 16020, MEXICO D.F.;5675-4955;5675-1649;;;;;;;;;5675-1798;5653-6027;10;1.003.000,00
48;PUEBLA AUTOMOTRIZ, S.A. DE C.V.;AV. HERMANOS SERDAN NO. 256 C.P. 72090 C.P. 72090, PUEBLA, PUEBLA.;01 (222) 248-4355;01 (222) 248-9132;PAU790517SV0;;;;;;;;01 (222) 248-4910;;10;2.025.000,00
49;INDUSTRIAS FERBER, S.A. DE C.V.;SAN BORJA No. 627-2 COL. DEL VALLE C.P. 03100 MEXICO D.F.;5575-5207;5575-1150;IFE7712162SA;;;;;;;;5575-5237;5575-1340;11;158.087,00
50;ECOFICINA, S.A. DE C.V.;RIO MIXCOAC No. 97, COL. CREDITO CONSTRUCTOR ENTRE INSURGENTES Y AV. UNIVERSIDAD C.P. 03940 DELEG. BENITO JUAREZ MEXICO, D.F.;5662-5570;5662-5570;ECO961119333;;;;;;;;;;11;53.364,70
51;FOMENTO AUTOMOTRIZ Y SERVICIO AL TRANSPORTE, S.A. DE C.V.;AV. EJERCITO NACIONAL No. 109. COL. VERONICA ANZURES DELEG. MIGUEL HIDALGO C.P. 11300 MEXICO, D.F.;5260-6818;5260-2958;FAS8509247IA;;;;;;;;5260-6077;;11;648.509,00
52;NQ SOLUTIONS, S.A. DE C.V.;AVENIDA PASEO DEL ACUEDUCTO NUM. 99-F, VILLAS DE LA HACIENDA, ATIZAPAN DE ZARAGOZA, ESTADO DE MEXICO, C.P. 52929;5887-8599;;NSO060803V77;;;HECTOR MANUEL PACHECO FLORES;;;;;5819-9568;;11;58.603,40
53;EQUIPOS PESQUEROS DEL PUERTO DE ALVARADO, S.A.;JUAN SOTO No. 23 C.P. 95250, ALVARADO, VERACRUZ;310-25;304-44;EPP820604IQ9;;;;;;;;301-56;;13;524.165,00
54;FIERA.COM MEXICO S. DE R.L. DE C.V.;AV. GRAL. MANUEL AVILA CAMACHO No. 24 6o. PISO COL. LOMAS DE CHAPULTEPEC, MEXICO D.F.;;;FCM000221T20;;;;;;;;;;13;96.094,00
55;QUINTANA ROO AUTOMOTORES, S. A DE C.V.;LIBRAMIENTO KABA X PASEO CHINCHEN ITZA SUPERMANZANA 38 MANZANA 100 LOTES 1Y2 C.P 77507 A. P. 71;19988819898;19988819850;QRA890130AL2;;;;;;;;;;13;2.113.090,00
56;ID PHOTO, S.A. DE C.V.;PALMA NORTE No. 405-E CENTRO HISTORICO MEXICO D.F. C.P. 06010;5518-8092;5518-8092;IPH9504285C7;;;;;;;;5518-8192;5518-0842;14;72.587,20
57;VARIO GRAPHIC CENTER, S.A. DE C.V.;BLVD. PICACHO AJUSCO 881, COL. HEROES DE PADIERNA, C.P. 14200, MEXICO, D.F.;5020-1500;5020-1501;;;;;;;;;;;14;52.019,70
58;MENDEZ MUEBLES DE OFICINA JORGE MANDEZ GARCIA;INSURGENTE SUR 1761 PLAZA ESMERALDA, COL. GUADALUPE INN CP 01020 MEXICO DF;56-61-91-58;56-61-14-25;MEGJ4208162C0;;;;;;;;;;14;61.770,00
59;PENTABIT, S.A. DE C.V.;2DA. CERRADA DE AMEZQUITE NUM. 7, COL. EL MANTO C.P. 09830, DELEGACION IZTAPALAPA, MEXICO D.F.;5686-0484;5686-0484;PEN0602032X8;;;;;;;;;;14;106.875,00
60;COMERCIALIZADORA PARISSI, S.A. DE C.V.;GENERAL JOSE MORAN No. 12 COL. DANIEL GARZA C.P.P 11840;5273-3068;5272-0738;CPA8602219S1;;;;;;;;5273-2329;;15;68.800,00
61;IMPULSORA DE TELECOMUNICACIONES, S.A. DE C.V.;FERNANDO MONTES DE OCA No. 195-A COL. INDEPENDENCIA, C.P. 03630, MEXICO D.F.;5672-3304;5539-6138;ITE960722TC4;;;;;;;;;;15;84.947,00
62;VISSION XXI, S.A. DE C.V.;PROVIDENCIA, NO. 334, INT. 201, COL. DEL VALLE, MEX. D.F. DELEG. BENITO JUAREZ C.P. 03100;55434370;55366431;VXX91090986A;;;;;;;;;;15;144.120,00
63;DIECSA, S.A. DE C.V.;EJERCITO NACIONAL No. 1112, 1ER. PISO, DELEG. MIGUEL HIDALGO C.P. 11510, MEXICO, D.F.;5587-0655;5587-0655;DIE820910A7O;;;;;;;;;;16;76.664,30
64;MENDOZA ULLOA JOSE HECTOR;8A. SUR OTE. NO. 476-A COL. CENTRO;6123588;;MEUH-670501;;;JOSE HECTOR MENDOZA ULLOA;PROPIETARIO;;;;6130285;;16;75.236,70
65;AUTOMOTORES SONI, S.A. DE C.V.;MORAS No. 446, COL. DEL VALLE, DELEG. BENITO JUAREZ C.P. 03210, MEXICO D.F.;5559-5188;5559-5188;ASO890921LZ1;automotores-soni@dchrysler.com.mx;www.automotores-soni.com.mx;;;;;;;;18;3.404.230,00
66;IMPERIO AUTOMOTRIZ DEL SUR, S.A. DE C.V.;AV. PROL. DIVISION DEL NORTE No. 5581 Bo. SAN MARCOS XOCHIMILCO C.P. 16050, MEXICO D.F.;5641-3657;5676-2212;IAS970418VEO;;;;;;;;5555-0226;;18;2.500.000,00
67;SOLUCIONES INTEGRALES PARA REDES Y SISTEMAS DE COMPUTO, S.A. DE C.V.;AV. PATRIOTISMO No. 497 COL. SAN PEDRO DE LOS PINOS, DELEG. BENITO JUAREZ C.P. 03800 MEXICO D.F.;5615-2820;5615-2820;SIR99022694A;ventasmexico@sirscom.com.mx;www.sirscom.com.mx;;;;;;;;18;165.727,00
68;NOVELTECH SISTEMAS INTEGRALES, S.A. DE C.V.;CALLE BOKOBA NO. 483-A COL. PEDREGAL DE SAN NICOLAS C.P. 14100, MEXICO, D.F.;5033-8375;5033-8376;NSI030828CL4;;;;;;;;;;18;73.700,00
69;COMERCIALIZADORA WHITE, S.A. DE C.V.;CENTRAL No. 50 BIS, COL. ATLANTIDA, C.P. 04370 MEXICO, D.F.;5544-3740;5544-6915;CWH960301UN4;;;;;;;;5544-3752;;19;56.765,00
70;MAC COMPUTADORAS, S.A. DE C.V.;AMORES No. 718, COL. DEL VALLE C.P. 03100 MEXICO, D.F.;9140-4600;9140-4600;MCO870617325;;;;;;;;;;19;75.757,40
71;OLIVETTI MEXICANA, S.A.;PONIENTE 152 No. 649, COL. INDUSTRIAL VALLEJO, C.P. 02300, DELEG. AZCAPOTZALCO, MEXICO, D.F.;5333-1300;5333-1300;OME4912205M5;;;;;;;;;;20;133.527,00
72;SISTEMAS E IMPLEMENTOS EMPRESARIALES, S.A. DE C.V.;PATRICIO SANZ No. 745, COL. DEL VALLE C.P. 03100, MEXICO D.F.;5543-2913;5543-1605;SIE900629KR6;;;;;;;;5543-8047;5669-1017;20;81.155,60
73;EQUIPOS DE OFICINA DE VERACRUZ, S.A. DE C.V.;20 DE NOVIEMBRE No. 1061 COL. CENTRO C.P. 91700 VERACRUZ, VER.;01 (229) 931-4142;01 (229) 931-4142,01 (229) 931-5166;EOV8606245U4;;;;;;;;01 (229) 931-5166;;20;72.725,20
74;SISTEMAS COMPUTACIONALES S.A. DE C.V.;PRIMERA NORTE ESQUINA SEGUNDA PONIENTE S/N PUERTO ESCONDIDO, OAXACA;1,95458E+11;;SCP6708211I67;;;IING. JOSE ANTONIO PEÑA;;19545823543;;;;;20;100.000,00
75;COMERCIAL LOJAN, S.A. DE C.V.;HACIENDA DE VISTA HERMOSA No. 12-A SANTA CECILIA C.P. 04970, COYOACAN, MEXICO D,F.;5671-9376;5671-9376;CLO891024LA9;;;;;;;;5671-9356;;24;177.038,00
76;COMPAÑÍA MEXICANA DE RADIO COMUNICACIÓN, S.A. DE C.V.;ANTONIO CARDENAS No. 208, COL. HEROES DE CHURUBUSCO DELEG. IZTAPALAPA, C.P. 09090, MEXICO, D.F.;5785-3510;5762-4559;MRC980325AE6;;;;;;;;;;24;288.645,00
77;BUFETE DE INGENIERIA EN TELECOMUNICACIONES Y SISTEMAS S.A. DE C.V.;JOSE TORIBIO MEDINA No. 130, COL. ALGARIN C.P. 06880 MEXICO D.F.;5519-6365;5519-6365,5519-6943;BIT960408LX3;;www.gpo-bits.com.mx;;;;;;5519-6943;5519-6929;24;896.939,00
78;SISTEMAS AVANZADOS EN COMPUTO, S.A. DE C.V.;NICOLAS SAN JUAN No. 842 PB COL. DEL VALLE, C.P. 03100 MEXICO D.F.;5682-3572;5523-4073;SAC9707119T8;siacsa@prodigy.net.mx;www.e.siacsa.com.mx;;;;;;5543-6010;;26;424.004,00
79;TODNET S.A. DE C.V.;AV. 5 DE MAYONo. 17, DESP. 5, COL. BARRIO LA ASUNCION, C.P. 09000, IZTAPALAPA, MEXICO D.F.;5686-8821;5686-8821;TOD020927JJ3;;;;;;;;;;26;126.775,00
80;GRUPO SIT . S.A. DE C.V.;PROLONGACION DE LA 51 POMIENTE 323 (CIRCUITO JUAN PABLO II), COL. RESIDENCIAL BOULEVARES, C.P. 72440 PUEBLA, PUEBLA.;01 800 713-3283;01 (237) 237-3502;GSI970214N16;gruposit@gemtel.com.mx;;;;;;;;;27;143.865,00
81;SERVICE SUPPORT, S.A. DE C.V.;SAUCO NUM. 112-2 COL. EL ROSARIO, DELEGACION COYOACAN, C.P. 04380, MEXICO, D.F.;5338-4588;;SSU001110UZ9;;;;;;;;5619-8829;;28;113.044,00
82;MARTIN Y OROZCO S.A. DE C.V.;BLVD. 18 SUR 5520, JARDINES DE SAN MANUEL, C.P. 72570 PUEBLA, PUEBLA.;01 ( ) 445565;01 ( ) 445565;MOR880720172;;;;;;;;;;30;282.536,00
83;GMAI ENTERPRISE TECNOLOGY SOLUTIONS, S.A. DE C.V.;COYOACAN NO. 521, CIUDAD DEL SOL, ZAPOPAN, JALISCO C.P. 45050;01 (333) 121 5179;;GET031013P52;;;JUAN FRANCISCO GONZÁLEZ RODRÍGUEZ;;;;;;;30;172.524,00
84;LUIS FELIPE GIL SAHUI;CALLE 42 NO. 528, LOS PINOS, MÉRIDA, YUCATAN. CP. 97138;(01 999) 986 52 08;;GISL621226BT8;;;LUIS FELIPE GIL SAHUI;;;;;;;32;2.436.720,00
85;COMUNICACIÒN ELECTRONICA SISTEMATIZADA, S.A. DE C.V.;ADOLFO PRIETO No. 1351, COL. TLACOQUEMECATL DEL VALLE C.P. 03100 MEXICO, D.F.;5335-0959;5335-0959;CES9205082P1;;;;;;;;;;33;120.537,00
86;FEDERICO VELAZQUEZ GUERRERO;PASEO DE LAS ACACIAS NO. 32, FRACC. PASEOS TAXQUEÑA, COYOACÁN, MEXICO D.F. CP. 04250;(0155) 56895728;;VEGF651122263;;;FEDERICO VELAZQUEZ;;;;;(0155) 56897283;;33;108.304,00
87;ABASTECEDORA ATLANTE, S.A. DE C.V.;GABINO BARREDA No. 139, LOCAL D, COL. SAN RAFAEL, C.P. 06470, MEXICO D.F.;5592-6878;5592-6878,5566-8539;AAT960111SY8;;;;;;;;5566-8539;;34;81.609,00
88;DAYTONA MOTOS S.A. DE C.V.;BLVD. MANUEL AVILA CAMACHO 1824, COL. CD. SATELITE, NAUCALPAN EDO. DE MEX C.P. 43100;53932787;;DMO8712021Q1;;;;;;;;;;35;2.462.540,00
89;DELL COMPUTER DE MEXICO, S.A. DE C.V.;RIO LERMA No. 302, 4o. PISO, COL. CUAYHTEMOC C.P. 06500, MEXICO D.F.;5228-7800;5228-7840;DCM920409963;;www.dell.com/int/la;;;;;;5081-8800;;37;321.463,00
90;GRUPO DIVESIMEX, S.A. DE C.V.;MORELIA No. 38, DESPACHO 505, COL. ROMA C.P. 06700, MEXICO, D.F.;5208-0444;5208-4580;GDI9703136E7;;;;;;;;5208-0888;;38;124.343,00
91;DELEGACION SEMARNAT, TAMAULIPAS;7 Y 8 MATAMOROS. PAL. FED. 2O. PISO. CENTRO CD. VICTORIA TAMPS. C.P. 87001;01 834 3185251;;TAMAULIPAS;;;;;;;;;;39;370.318,00
92;ENERGIA SOLAR DEL PACIFICO, S.A. DE C.V.;PICO DE ORIZABA NO. 11-A , COL. LOMAS DE OCCIPACO, CP. 53247, NAUCALPAN EDO. DE MEX.;0155-53635067;;ESP060607C42;;;;;;;;;0155-52363721;40;86.956,50
93;THERMOKOLD DE MÉXICO, S.A. DE C.V.;34 NO. 471-A X 40 Y 42, COL. JESÚS CARRANZA, MÉRIDA, YUCATAN. C.P. 97109;(01 999) 926 9863;;TME010727UC2;;;ERNESTO JOSÉ MARTÍNEZ LARA;;;;;;;41;82.570,00
94;MADUVE, S.A. DE C.V.;GALEANA 973 PTE., LOCAL E-ALTOS, CUMURIPA, CAJEME, SONORA, C.P. 85140;01 (644) 415 7068;;MAD000426FW1;;;JOSÉ MARÍA CABANILLAS ORTEGÓN;REPRESENTANTE LEGAL;;;;;;42;471.493,00
95;WOODS MUEBLES PARA OFICINA, S.A.;CALLE 8 No. 132-B, COL. LEYES DE REFORMA, C.P. 09340, MEXICO, D.F.;5612-2864;5612-2864,5612-7962;WMO940204V78;;;;;;;;5612-7962;;45;100.947,00
96;MOBEL INTERNACIONAL, S.A. DE C.V.;NEGRA MODELO No. 4-A FRACC. IND. ALCE BLANCO, NAUCALPAN DE JUAREZ, EDO. DE MEX.;5560-2223;5560-2223;MIN710524LB1;;;;;;;;5360-4711;5360-4452;45;212.600,00
97;AUTO GLASS S.A. DE C.V;EJE CENTRAL LAZARO CARDENAS No. 323 COL. PORTALES C.P. 03300, MEXICO D.F.;5539-3713;5539-3713,5532-9503;AGL960207QN4;;;;;;;;5532-9503;5672-5586;47;106.333,00
98;PROVEEDORA DE CAMPOS DE GOLF, S.A. DE C.V.;ANA GARCIA NUM. 60, COL. CARMEN SERDAN C.P. 04910, DELEGACION COYOACAN, MEXICO D.F.;5607-7176;5695-3000;PCG9105283S7;;;;;;;;;;47;2.920.570,00
99;NUEVA WAL MART DE MEXICO, S DE RL DE CV;AV NEXTENGO No 78 COL SANTA CRUZ ACAYUCAN DELEG AZCAPOTZALCO C.P. 02770 MEXICO, D.F.;;;NWM9709244W4;;;;;;;;;;55;60.960,00
100;OFILLAMAS, S.A. DE C.V.;CHIHUAHUA 1677 SUR, COL CAMPESTRE, CD. OBREGON, SONORA;6444124434;6444446142;OFI040727QU5;;;;REPRESENTANTE LEGAL;;;;;;60;116.815,00
101;DYR MEXICANA S.A.DE C.V.;XOLA 170 COL. ALAMOS C.P. 03400;5590-0403;5590-0403,5682-2686;DME911121NJ1;;;;;;;;5682-2686;;62;224.666,00
